buckets,startDay,endDay,microCeph,births,local,N_H,L_H
28,761,789,4,48384,colombia,48228704,73.95
31,789,820,16,55102,colombia,48228704,73.95
30,820,850,16,52535,colombia,48228704,73.95
31,850,881,12,54642,colombia,48228704,73.95
30,881,911,11,53929,colombia,48228704,73.95
31,911,942,11,56160,colombia,48228704,73.95
31,942,973,15,55290,colombia,48228704,73.95
30,973,1003,10,58835,colombia,48228704,73.95
31,1003,1034,11,56870,colombia,48228704,73.95
11,1034,1045,4,24317,colombia,48228704,73.95
29,1126,1155,12,50367,colombia,49067981,73.95
31,1155,1186,18,54348,colombia,49067981,73.95
30,1186,1216,36,52612,colombia,49067981,73.95
31,1216,1247,47,53464,colombia,49067981,73.95
30,1247,1277,75,51748,colombia,49067981,73.95
31,1277,1308,94,53046,colombia,49067981,73.95
31,1308,1339,71,55709,colombia,49067981,73.95
30,1339,1369,60,56539,colombia,49067981,73.95
31,1369,1400,49,49262,colombia,49067981,73.95
11,1400,1411,14,21193,colombia,49067981,73.95
