startDay,endDay,buckets,inc,N_H,L_H,local
730,761,31,25,56560081,72.3,northeast
761,789,28,38,56560081,72.3,northeast
789,820,31,149,56560081,72.3,northeast
820,850,30,237,56560081,72.3,northeast
850,881,31,203,56560081,72.3,northeast
881,911,30,171,56560081,72.3,northeast
911,942,31,203,56560081,72.3,northeast
942,973,31,105,56560081,72.3,northeast
973,1003,30,67,56560081,72.3,northeast
1003,1034,31,45,56560081,72.3,northeast
1034,1064,30,249,56560081,72.3,northeast
1064,1095,31,568,56560081,72.3,northeast
1095,1126,31,641,56560081,72.3,northeast
1126,1154,28,1821,56560081,72.3,northeast
1154,1185,31,2652,56560081,72.3,northeast
1185,1215,30,1744,56560081,72.3,northeast
1215,1246,31,1053,56560081,72.3,northeast
1246,1276,30,650,56560081,72.3,northeast
1276,1307,31,283,56560081,72.3,northeast
1307,1338,31,185,56560081,72.3,northeast
1338,1368,30,44,56560081,72.3,northeast
1368,1399,31,2,56560081,72.3,northeast
