startDay,endDay,buckets,microCeph,births,N_H,L_H,local
730,761,31,2,44803,56560081,72.3,northeast
761,789,28,3,68100,56560081,72.3,northeast
789,820,31,0,84324,56560081,72.3,northeast
820,850,30,2,77224,56560081,72.3,northeast
850,881,31,4,70413,56560081,72.3,northeast
881,911,30,7,73548,56560081,72.3,northeast
911,942,31,9,66145,56560081,72.3,northeast
942,973,31,30,66414,56560081,72.3,northeast
973,1003,30,65,60036,56560081,72.3,northeast
1003,1034,31,231,80645,56560081,72.3,northeast
1034,1064,30,317,65303,56560081,72.3,northeast
1064,1095,31,310,64974,56560081,72.3,northeast
1095,1126,31,229,71056,56560081,72.3,northeast
1126,1154,28,109,65269,56560081,72.3,northeast
1154,1185,31,88,78126,56560081,72.3,northeast
1185,1215,30,28,74415,56560081,72.3,northeast
1215,1246,31,11,76504,56560081,72.3,northeast
1246,1276,30,14,72054,56560081,72.3,northeast
1276,1307,31,9,70768,56560081,72.3,northeast
1307,1338,31,10,68595,56560081,72.3,northeast
1338,1368,30,11,94624,56560081,72.3,northeast
