buckets,startDay,endDay,microCeph,births,local,N_H,L_H
31,1307,1338,0,1372,amapa,766679,73.4
30,1338,1368,0,1303,amapa,766679,73.4
31,1368,1399,1,1269,amapa,766679,73.4
30,1399,1429,0,1215,amapa,766679,73.4
31,365,396,1,6172,amazonas,3938336,71.4
28,396,424,0,6813,amazonas,3938336,71.4
31,424,455,1,6549,amazonas,3938336,71.4
30,455,485,0,6868,amazonas,3938336,71.4
31,485,516,0,6572,amazonas,3938336,71.4
30,516,546,1,6653,amazonas,3938336,71.4
31,546,577,0,6814,amazonas,3938336,71.4
31,577,608,0,6950,amazonas,3938336,71.4
30,608,638,1,7119,amazonas,3938336,71.4
31,638,669,0,6802,amazonas,3938336,71.4
30,669,699,0,6767,amazonas,3938336,71.4
31,699,730,3,6872,amazonas,3938336,71.4
31,730,761,1,6100,amazonas,3938336,71.4
28,761,789,0,6677,amazonas,3938336,71.4
31,789,820,0,6693,amazonas,3938336,71.4
30,820,850,0,6783,amazonas,3938336,71.4
31,850,881,0,6363,amazonas,3938336,71.4
30,881,911,0,6631,amazonas,3938336,71.4
31,911,942,0,6719,amazonas,3938336,71.4
31,942,973,0,6901,amazonas,3938336,71.4
30,973,1003,0,6943,amazonas,3938336,71.4
31,1003,1034,0,6668,amazonas,3938336,71.4
30,1034,1064,1,6727,amazonas,3938336,71.4
31,1064,1095,0,6696,amazonas,3938336,71.4
31,1095,1126,0,6152,amazonas,3938336,71.4
28,1126,1154,2,6426,amazonas,3938336,71.4
31,1154,1185,4,6132,amazonas,3938336,71.4
30,1185,1215,0,6187,amazonas,3938336,71.4
31,1215,1246,0,5965,amazonas,3938336,71.4
30,1246,1276,1,6220,amazonas,3938336,71.4
31,1276,1307,2,6429,amazonas,3938336,71.4
31,1307,1338,2,6321,amazonas,3938336,71.4
30,1338,1368,2,6224,amazonas,3938336,71.4
31,1368,1399,2,6018,amazonas,3938336,71.4
30,1399,1429,3,5936,amazonas,3938336,71.4
31,365,396,0,16059,bahia,15203934,73
28,396,424,1,17837,bahia,15203934,73
31,424,455,0,17746,bahia,15203934,73
30,455,485,1,18809,bahia,15203934,73
31,485,516,0,17377,bahia,15203934,73
30,516,546,0,17814,bahia,15203934,73
31,546,577,0,16605,bahia,15203934,73
31,577,608,0,16711,bahia,15203934,73
30,608,638,2,16575,bahia,15203934,73
31,638,669,2,15904,bahia,15203934,73
30,669,699,1,16335,bahia,15203934,73
31,699,730,0,16587,bahia,15203934,73
31,730,761,3,15987,bahia,15203934,73
28,761,789,2,19505,bahia,15203934,73
31,789,820,1,18269,bahia,15203934,73
30,820,850,2,18934,bahia,15203934,73
31,850,881,0,18116,bahia,15203934,73
30,881,911,3,17756,bahia,15203934,73
31,911,942,1,16697,bahia,15203934,73
31,942,973,4,17074,bahia,15203934,73
30,973,1003,14,16652,bahia,15203934,73
31,1003,1034,74,15543,bahia,15203934,73
30,1034,1064,147,15520,bahia,15203934,73
31,1064,1095,120,15979,bahia,15203934,73
31,1095,1126,88,16001,bahia,15203934,73
28,1126,1154,45,18592,bahia,15203934,73
31,1154,1185,20,17748,bahia,15203934,73
30,1185,1215,10,19022,bahia,15203934,73
31,1215,1246,12,17857,bahia,15203934,73
30,1246,1276,9,17337,bahia,15203934,73
31,1276,1307,6,16226,bahia,15203934,73
31,1307,1338,11,15848,bahia,15203934,73
30,1338,1368,5,15051,bahia,15203934,73
31,1368,1399,5,13874,bahia,15203934,73
30,1399,1429,1,13899,bahia,15203934,73
31,365,396,0,9481,ceara,8904459,73.4
28,396,424,0,10948,ceara,8904459,73.4
31,424,455,0,10968,ceara,8904459,73.4
30,455,485,0,11274,ceara,8904459,73.4
31,485,516,2,10812,ceara,8904459,73.4
30,516,546,0,11196,ceara,8904459,73.4
31,546,577,1,10831,ceara,8904459,73.4
31,577,608,2,11323,ceara,8904459,73.4
30,608,638,0,11063,ceara,8904459,73.4
31,638,669,0,10264,ceara,8904459,73.4
30,669,699,1,10661,ceara,8904459,73.4
31,699,730,1,11176,ceara,8904459,73.4
31,730,761,0,9980,ceara,8904459,73.4
28,761,789,0,11537,ceara,8904459,73.4
31,789,820,0,11453,ceara,8904459,73.4
30,820,850,2,11841,ceara,8904459,73.4
31,850,881,0,11171,ceara,8904459,73.4
30,881,911,2,10992,ceara,8904459,73.4
31,911,942,1,11091,ceara,8904459,73.4
31,942,973,2,11467,ceara,8904459,73.4
30,973,1003,6,11030,ceara,8904459,73.4
31,1003,1034,29,10199,ceara,8904459,73.4
30,1034,1064,41,10785,ceara,8904459,73.4
31,1064,1095,37,10510,ceara,8904459,73.4
31,1095,1126,25,9813,ceara,8904459,73.4
28,1126,1154,17,11306,ceara,8904459,73.4
31,1154,1185,7,11386,ceara,8904459,73.4
30,1185,1215,7,11407,ceara,8904459,73.4
31,1215,1246,4,11180,ceara,8904459,73.4
30,1246,1276,3,11143,ceara,8904459,73.4
31,1276,1307,0,10416,ceara,8904459,73.4
31,1307,1338,3,9885,ceara,8904459,73.4
30,1338,1368,3,9906,ceara,8904459,73.4
31,1368,1399,10,8630,ceara,8904459,73.4
30,1399,1429,7,8828,ceara,8904459,73.4
31,365,396,0,3473,distritofederal,2914830,77.6
28,396,424,0,3871,distritofederal,2914830,77.6
31,424,455,0,3798,distritofederal,2914830,77.6
30,455,485,0,3961,distritofederal,2914830,77.6
31,485,516,1,3730,distritofederal,2914830,77.6
30,516,546,0,3703,distritofederal,2914830,77.6
31,546,577,0,3766,distritofederal,2914830,77.6
31,577,608,0,3732,distritofederal,2914830,77.6
30,608,638,0,3647,distritofederal,2914830,77.6
31,638,669,0,3458,distritofederal,2914830,77.6
30,669,699,1,3713,distritofederal,2914830,77.6
31,699,730,1,3812,distritofederal,2914830,77.6
31,730,761,1,3680,distritofederal,2914830,77.6
28,761,789,0,4105,distritofederal,2914830,77.6
31,789,820,0,3811,distritofederal,2914830,77.6
30,820,850,0,4167,distritofederal,2914830,77.6
31,850,881,1,3760,distritofederal,2914830,77.6
30,881,911,0,3862,distritofederal,2914830,77.6
31,911,942,0,3777,distritofederal,2914830,77.6
31,942,973,2,3964,distritofederal,2914830,77.6
30,973,1003,2,3762,distritofederal,2914830,77.6
31,1003,1034,0,3666,distritofederal,2914830,77.6
30,1034,1064,2,3756,distritofederal,2914830,77.6
31,1064,1095,0,3809,distritofederal,2914830,77.6
31,1095,1126,3,3775,distritofederal,2914830,77.6
28,1126,1154,1,3946,distritofederal,2914830,77.6
31,1154,1185,0,3728,distritofederal,2914830,77.6
30,1185,1215,0,3880,distritofederal,2914830,77.6
31,1215,1246,0,3647,distritofederal,2914830,77.6
30,1246,1276,0,3618,distritofederal,2914830,77.6
31,1276,1307,1,3422,distritofederal,2914830,77.6
31,1307,1338,0,3472,distritofederal,2914830,77.6
30,1338,1368,0,3102,distritofederal,2914830,77.6
31,1368,1399,2,1997,distritofederal,2914830,77.6
30,1399,1429,0,1923,distritofederal,2914830,77.6
31,365,396,0,4634,espiritosanto,3929911,77.5
28,396,424,0,4949,espiritosanto,3929911,77.5
31,424,455,0,5040,espiritosanto,3929911,77.5
30,455,485,0,4966,espiritosanto,3929911,77.5
31,485,516,1,4806,espiritosanto,3929911,77.5
30,516,546,0,4898,espiritosanto,3929911,77.5
31,546,577,0,4500,espiritosanto,3929911,77.5
31,577,608,2,4532,espiritosanto,3929911,77.5
30,608,638,0,4486,espiritosanto,3929911,77.5
31,638,669,0,4292,espiritosanto,3929911,77.5
30,669,699,0,4650,espiritosanto,3929911,77.5
31,699,730,0,4808,espiritosanto,3929911,77.5
31,730,761,0,4523,espiritosanto,3929911,77.5
28,761,789,1,5323,espiritosanto,3929911,77.5
31,789,820,0,4940,espiritosanto,3929911,77.5
30,820,850,1,5242,espiritosanto,3929911,77.5
31,850,881,0,4821,espiritosanto,3929911,77.5
30,881,911,0,4857,espiritosanto,3929911,77.5
31,911,942,0,4632,espiritosanto,3929911,77.5
31,942,973,0,4469,espiritosanto,3929911,77.5
30,973,1003,1,4468,espiritosanto,3929911,77.5
31,1003,1034,3,4335,espiritosanto,3929911,77.5
30,1034,1064,11,4529,espiritosanto,3929911,77.5
31,1064,1095,5,4771,espiritosanto,3929911,77.5
31,1095,1126,12,4655,espiritosanto,3929911,77.5
28,1126,1154,11,4976,espiritosanto,3929911,77.5
31,1154,1185,6,4898,espiritosanto,3929911,77.5
30,1185,1215,4,5234,espiritosanto,3929911,77.5
31,1215,1246,5,4617,espiritosanto,3929911,77.5
30,1246,1276,1,4596,espiritosanto,3929911,77.5
31,1276,1307,5,4358,espiritosanto,3929911,77.5
31,1307,1338,5,3777,espiritosanto,3929911,77.5
30,1338,1368,3,3845,espiritosanto,3929911,77.5
31,1368,1399,2,3593,espiritosanto,3929911,77.5
30,1399,1429,1,3126,espiritosanto,3929911,77.5
31,365,396,0,8019,goias,6610681,73.8
28,396,424,0,8624,goias,6610681,73.8
